Degree,XCoordinate,YCoordinate
0,204.7823235,0
0.11,205.986999,0.395266649
0.22,205.9858613,0.790531842
0.34,217.0944695,1.287626519
0.45,217.8824021,1.71041199
0.56,218.6788425,2.136317272
0.68,219.4710799,2.603536839
0.79,220.0696123,3.03299579
0.9,221.2866044,3.474485169
1.01,223.9086873,3.945430545
1.13,225.7491799,4.450594473
1.24,225.9471288,4.888249884
1.35,227.1813496,5.351110067
1.46,227.1706632,5.787035715
1.57,228.6145458,6.262810346
1.69,229.0172228,6.753638917
1.8,242.5251929,7.617794836
1.91,242.5101287,8.083159424
2.02,244.0924486,8.604837299
2.14,244.6735791,9.138181987
2.25,245.0579297,9.623466098
2.36,245.2409349,10.10200467
2.47,245.8258231,10.59864825
2.59,245.803098,11.11322004
2.7,258.8557496,12.20112951
2.81,259.7952325,12.74508345
2.92,261.1205588,13.31241671
3.04,261.4813982,13.87966278
3.15,261.841674,14.40269924
3.26,262.2066675,14.9274975
3.37,263.920543,15.53320062
3.49,264.8531447,16.14450525
3.6,265.016251,16.66493427
3.71,265.1788176,17.18607997
3.82,265.7332633,17.73413195
3.94,266.4785571,18.3442623
4.05,266.4428659,18.85557096
4.16,271.4744061,19.73525173
4.27,274.5409767,20.48785308
4.39,274.8871468,21.09241258
4.5,275.8264704,21.69696362
4.61,276.1773348,22.25787713
4.72,276.7254779,22.83659121
4.84,277.4725965,23.48314691
4.95,278.4106501,24.10069027
5.06,278.5631348,24.65251752
5.18,285.0011204,25.82365911
5.29,289.1181005,26.7561327
5.4,306.4474746,28.95304243
5.51,306.3913527,29.54102742
5.63,320.8279126,31.61092353
5.74,321.6099886,32.31122444
5.85,322.3834386,33.01391408
5.96,322.5308864,33.65452858
6.08,323.0910981,34.39683558
6.19,323.2358616,35.03966001
6.3,323.804816,35.73011481
6.41,307.3453961,34.51097632
6.53,307.9473051,35.23148167
6.64,308.7700168,35.92598918
6.75,309.5969136,36.62446006
6.86,310.1988981,37.29937805
6.98,311.0185593,38.05858311
7.09,311.8443672,38.76713355
7.2,311.7694033,39.3654565
7.31,313.2640586,40.1650298
7.43,313.4049578,40.85012117
7.54,314.2274299,41.57069027
7.65,315.2704333,42.32438844
7.76,314.9645949,42.8987641
7.88,315.3243896,43.62028569
7.99,315.4643269,44.25673351
8.1,315.8285262,44.92596209
8.21,315.5160953,45.49937995
8.33,314.9703934,46.0939398
8.44,314.8813644,46.69824776
8.55,314.1166397,47.20102395
8.66,313.1291022,47.66723597
8.78,311.6840421,48.11504853
8.89,311.3664406,48.67791778
9,310.6032412,49.1693662
9.11,309.3951223,49.58687598
9.23,308.3934512,50.08871375
9.34,311.3327191,51.17946876
9.45,309.9092392,51.55641052
9.56,309.1501919,52.03997374
9.68,305.9632126,52.16236679
9.79,304.9894521,52.59880345
9.9,304.4547584,53.10838055
10.01,301.2867376,53.15168615
10.13,297.9120686,53.19961847
10.24,295.8633545,53.41980429
10.35,293.5934404,53.59190014
10.46,289.8384759,53.48137864
10.58,288.6489188,53.88693393
10.69,285.5672665,53.87890387
10.8,282.6858509,53.89721435
10.91,277.5582328,53.47174384
11.03,270.4873837,52.69701379
11.14,267.2741435,52.60353796
11.25,265.1414613,52.71247965
11.36,264.2436383,53.06128175
11.48,258.2846625,52.42740788
11.59,250.2296495,51.29251884
11.7,246.5490089,51.03122781
11.81,245.6718392,51.34147855
11.93,238.5494063,50.37440581
12.04,203.6231829,43.40736571
12.15,198.7413129,42.76552985
12.26,196.2732677,42.62868013
12.38,195.3218948,42.85040749
12.49,192.0537961,42.51987053
12.6,186.2048514,41.59991967
12.71,186.124683,41.95714929
12.83,181.4520584,41.30315381
12.94,178.2380848,40.93146871
13.05,175.2665772,40.60328701
13.16,173.1653537,40.46677986
13.28,170.2304936,40.15693034
13.39,169.5563659,40.34152666
13.5,168.6957448,40.47895371
13.61,162.6229512,39.3519472
13.73,162.5402182,39.69228478
13.84,161.1135056,39.67163102
13.95,159.2850718,39.54574432
14.06,135.7920729,33.98989476
14.18,135.0686722,34.10943833
14.29,132.4239449,33.71199813
14.4,129.347623,33.19325856
14.51,126.7356328,32.78230295
14.63,124.5633602,32.49875845
14.74,124.2940004,32.68335141
14.85,123.4160808,32.70582533
14.96,121.2927665,32.39235698
15.08,118.0851998,31.80071666
15.19,118.0239604,32.02725035
15.3,117.9622864,32.25366611
15.41,115.073986,31.701384
15.53,112.779611,31.32346308
15.64,112.3203829,31.42819723
15.75,111.6666174,31.47644457
15.86,111.0149171,31.52282018
15.98,109.7593475,31.41473601
16.09,108.9150253,31.39931965
16.2,108.4641503,31.49488997
16.31,108.0153129,31.5894314
16.43,106.4002414,31.35902804
16.54,105.5713752,31.33504025
16.65,105.320342,31.4805583
16.76,104.4973715,31.45312941
16.88,103.8623898,31.49926951
16.99,102.6711879,31.35326428
17.1,89.3408987,27.47005313
17.21,89.28802227,27.64143771
17.33,88.80816731,27.69674024
17.44,86.4133072,27.13190628
17.55,86.86894606,27.45820237
17.66,86.2976724,27.45988112
17.78,86.0689564,27.58564983
17.89,85.15425077,27.47277881
18,83.73692338,27.19303212
18.11,83.68458884,27.35366381
18.23,82.95373365,27.30710666
18.34,82.23182069,27.24446732
18.45,82.01404744,27.34707826
18.56,81.46186065,27.33676266
18.68,81.40445725,27.50722947
18.79,81.02398954,27.55200752
18.9,80.14961466,27.426373
19.01,80.09683897,27.58012061
19.12,79.8809386,27.67734901
19.24,79.8228257,27.84450568
19.35,79.28318436,27.82702544
19.46,79.22964146,27.97910973
19.57,76.37111696,27.13458729
19.69,76.14841703,27.23512287
19.8,75.93003759,27.32147004
19.91,75.87747096,27.46712096
20.02,75.49398708,27.49226402
20.14,75.27151088,27.58984686
20.25,72.11846696,26.5912277
20.36,72.0673086,26.72956599
20.47,71.84605145,26.80444411
20.59,71.27825806,26.76272148
20.7,71.22677218,26.89944718
20.81,71.00599725,26.97186844
20.92,70.78480426,27.04338773
21.04,70.38847763,27.06095989
21.15,70.3364211,27.19597766
21.26,69.94754437,27.20001905
21.37,69.55936456,27.20284548
21.49,69.33282692,27.28172363
21.6,68.77619647,27.21521877
21.71,67.85472323,27.00129383
21.82,67.63412855,27.06396108
21.94,67.23902818,27.0692893
22.05,67.01730388,27.12958374
22.16,66.96512187,27.25813247
22.27,66.91269329,27.38658084
22.39,66.68767767,27.4576094
22.5,66.46703804,27.5160472
22.61,66.41411547,27.64353932
22.72,66.19296329,27.70063076
22.84,66.13483164,27.83913391
22.95,65.91316138,27.89483508
23.06,65.52654528,27.87959583
23.17,65.47292683,28.00528258
23.29,65.24732571,28.07050327
23.4,65.19334145,28.19565388
23.51,65.30567376,28.39311492
23.62,65.25107033,28.51837691
23.74,65.19122893,28.65490656
23.85,65.13612336,28.77994845
23.96,65.41148052,29.05176214
24.07,65.01878112,29.0268514
24.19,64.95787583,29.16289368
24.3,64.90179592,29.28748686
24.41,65.01259797,29.48777326
24.52,65.1224416,29.68839729
24.64,65.22611455,29.90073546
24.75,65.16861831,30.025842
24.86,65.60956593,30.38176305
24.97,65.55114594,30.5076045
25.09,65.81826893,30.7997101
25.2,65.75904657,30.92595126
25.31,65.69958207,31.05207855
25.42,65.97257688,31.33612027
25.54,66.23753735,31.63208254
25.65,66.17671699,31.7591267
25.76,66.60163545,32.12043206
25.87,66.86968033,32.40801114
25.99,66.96581908,32.62788799
26.1,67.06665788,32.83641374
26.21,67.3331557,33.12722159
26.32,67.26946432,33.25636536
26.44,67.52707498,33.55980946
26.55,67.62746351,33.77167717
26.66,67.56253495,33.90138451
26.77,67.66155031,34.11375005
26.89,67.75361266,34.33823872
27,67.85066546,34.55122569
27.11,67.78424062,34.68135989
27.22,67.71756619,34.81136638
27.34,68.13573078,35.20684863
27.45,68.23082874,35.42203659
27.56,68.16273221,35.55289868
27.67,68.0943847,35.68362985
27.79,68.01953782,35.82609581
27.9,68.27755172,36.1295253
28.01,68.5330944,36.43324909
