Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
0,263.7508294,0,,0,294.156421,0,,-30.40559159,0,,30.40559159,-1.570796327
0.18,265.1637357,0.832616867,,0.18,294.1549708,0.923649644,,-28.99123511,-0.091032777,,28.99137803,-1.573936327
0.36,267.2810926,1.678547328,,0.36,294.1506205,1.847290181,,-26.86952783,-0.168742853,,26.87005769,-1.577076327
0.54,267.2745044,2.517800305,,0.54,292.0221437,2.750929963,,-24.74763929,-0.233129658,,24.74873734,-1.580216327
0.72,267.2652809,3.357028457,,0.72,291.3050151,3.658983398,,-24.03973426,-0.301954941,,24.04163056,-1.583356327
0.9,269.3744812,4.229526872,,0.9,291.2920899,4.573661604,,-21.9176087,-0.344134732,,21.92031022,-1.586496327
1.08,270.7738351,5.10198271,,1.08,338.3977115,6.3761673,,-67.62387642,-1.274184591,,67.63587959,-1.589636327
1.26,271.463416,5.967726959,,1.26,338.3760221,7.438702935,,-66.91260613,-1.470975977,,66.92877281,-1.592776327
1.44,271.4433391,6.820091264,,1.44,338.3509965,8.501165227,,-66.90765741,-1.681073963,,66.92877281,-1.595916327
1.62,271.4205859,7.672388327,,1.62,336.3108034,9.506674203,,-64.89021748,-1.834285876,,64.91613766,-1.599056327
1.8,271.3951566,8.524609743,,1.8,336.2792945,10.56264152,,-64.88413794,-2.038031781,,64.91613766,-1.602196327
1.98,271.3670515,9.37674711,,1.98,336.2593222,11.6190179,,-64.89227073,-2.242270787,,64.9309986,-1.605336327
2.16,271.3362707,10.22879203,,2.16,335.8056174,12.65914731,,-64.46934664,-2.430355282,,64.51513995,-1.608476327
2.34,271.3028147,11.08073609,,2.34,335.7642123,13.71351281,,-64.46139751,-2.632776717,,64.51513995,-1.611616327
2.52,271.2666838,11.9325709,,2.52,335.7194966,14.7677431,,-64.45281283,-2.835172193,,64.51513995,-1.614756327
2.7,271.2278783,12.78428806,,2.7,335.671471,15.82182778,,-64.44359266,-3.037539716,,64.51513995,-1.617896327
2.88,271.1863986,13.63587918,,2.88,335.6201357,16.87575647,,-64.43373711,-3.23987729,,64.51513995,-1.621036327
3.06,271.1422451,14.48733585,,3.06,335.5654914,17.92951877,,-64.42324627,-3.44218292,,64.51513995,-1.624176327
3.24,271.0954183,15.33864968,,3.24,335.5075385,18.98310429,,-64.41212024,-3.644454612,,64.51513995,-1.627316327
3.42,271.0459186,16.18981228,,3.42,335.031636,20.01173573,,-63.98571739,-3.821923453,,64.09975919,-1.630456327
3.6,270.9937465,17.04081525,,3.6,334.9671476,21.06363469,,-63.97340113,-4.022819434,,64.09975919,-1.633596327
3.78,270.9389024,17.89165021,,3.78,334.8993566,22.11532596,,-63.96045412,-4.223675752,,64.09975919,-1.636736327
3.96,270.8813871,18.74230876,,3.96,334.8282636,23.16679919,,-63.94687649,-4.424490426,,64.09975919,-1.639876327
4.14,270.8212009,19.59278253,,4.14,334.7538693,24.218044,,-63.93266837,-4.625261476,,64.09975919,-1.643016327
4.32,270.7583446,20.44306311,,4.32,334.6761745,25.26905003,,-63.9178299,-4.825986924,,64.09975919,-1.646156327
4.5,270.6928187,21.29314214,,4.5,334.5951799,26.31980692,,-63.90236122,-5.026664789,,64.09975919,-1.649296327
4.68,270.6246239,22.14301122,,4.68,334.5108864,27.37030431,,-63.8862625,-5.227293093,,64.09975919,-1.652436327
4.86,270.5537608,22.99266198,,4.86,334.4232947,28.42053184,,-63.86953388,-5.427869858,,64.09975919,-1.655576327
5.04,270.4802302,23.84208604,,5.04,334.3324057,29.47047915,,-63.85217553,-5.628393106,,64.09975919,-1.658716327
5.22,270.4040328,24.69127504,,5.22,334.2382204,30.5201359,,-63.83418763,-5.828860861,,64.09975919,-1.661856327
5.4,270.3251693,25.54022058,,5.4,334.1407396,31.56949173,,-63.81557034,-6.029271146,,64.09975919,-1.664996327
5.58,270.2436404,26.38891431,,5.58,334.0399643,32.61853629,,-63.79632386,-6.229621984,,64.09975919,-1.668136327
5.76,270.1594471,27.23734785,,5.76,333.9358955,33.66725925,,-63.77644838,-6.429911401,,64.09975919,-1.671276327
5.94,270.0725902,28.08551285,,5.94,333.8285343,34.71565027,,-63.75594409,-6.630137422,,64.09975919,-1.674416327
6.12,269.9830704,28.93340093,,6.12,333.7178816,35.763699,,-63.73481119,-6.830298072,,64.09975919,-1.677556327
6.3,269.8908887,29.78100374,,6.3,333.6039386,36.81139512,,-63.71304989,-7.030391379,,64.09975919,-1.680696327
6.48,269.796046,30.62831293,,6.48,333.4867064,37.8587283,,-63.6906604,-7.230415368,,64.09975919,-1.683836327
