Degree0,XCoordinate0,YCoordinate0,Degree1,XCoordinate1,YCoordinate1,Degree0_rad,Degree1_rad,d,cosb,cosb_ref,delta_cos,min,d,cosb,cosb_ref,delta_cos,min
0,177.3640324,0,0,204.7823235,0,0,0,177.3640324,1.154587662,1,0.154587662,6.14503E-05,157.4204561,1.300862215,1,0.300862215,0.000138849
0.11,157.4201663,0.302072179,0.11,205.986999,0.395266649,0.001919862,0.001919862,,1.161379769,0.999998157,0.161381612,,,1.308514813,0.999998157,0.308516656,
0.22,156.9740013,0.602434291,0.22,205.9858613,0.790531842,0.003839724,0.003839724,,1.161373354,0.999992628,0.161380726,,,1.308507586,0.999992628,0.308514958,
0.34,156.7499143,0.92971206,0.34,217.0944695,1.287626519,0.005934119,0.005934119,,1.224005039,0.999982393,0.224022646,,,1.379074071,0.999982393,0.379091678,
0.45,159.5663841,1.252621845,0.45,217.8824021,1.71041199,0.007853982,0.007853982,,1.228447499,0.999969158,0.228478342,,,1.384079345,0.999969158,0.384110188,
0.56,159.5636867,1.558809513,0.56,218.6788425,2.136317272,0.009773844,0.009773844,,1.232937927,0.999952236,0.232985691,,,1.389138665,0.999952236,0.389186428,
0.68,159.1962108,1.888509409,0.68,219.4710799,2.603536839,0.011868239,0.011868239,,1.237404658,0.999929573,0.237475085,,,1.394171285,0.999929573,0.394241712,
0.79,159.0074346,2.191437858,0.79,220.0696123,3.03299579,0.013788101,0.013788101,,1.240779257,0.999904946,0.240874311,,,1.397973411,0.999904946,0.398068466,
0.9,159.0029368,2.496551235,0.9,221.2866044,3.474485169,0.015707963,0.015707963,,1.247640806,0.999876632,0.247764174,,,1.40570425,0.999876632,0.405827617,
1.01,158.4504276,2.792009388,1.01,223.9086873,3.945430545,0.017627825,0.017627825,,1.262424429,0.999844634,0.262579795,,,1.422360807,0.999844634,0.422516173,
1.13,158.2616979,3.120093895,1.13,225.7491799,4.450594473,0.019722221,0.019722221,,1.27280135,0.999805523,0.272995827,,,1.434052379,0.999805523,0.434246856,
1.24,158.0726779,3.419821059,1.24,225.9471288,4.888249884,0.021642083,0.021642083,,1.27391741,0.999765819,0.274151591,,,1.435309833,0.999765819,0.435544013,
1.35,158.0658246,3.723138482,1.35,227.1813496,5.351110067,0.023561945,0.023561945,,1.280876097,0.99972243,0.281153667,,,1.443150115,0.99972243,0.443427685,
1.46,157.8765078,4.021808875,1.46,227.1706632,5.787035715,0.025481807,0.025481807,,1.280815846,0.999675356,0.281140489,,,1.44308223,0.999675356,0.443406874,
1.57,157.6864177,4.319760691,1.57,228.6145458,6.262810346,0.027401669,0.027401669,,1.288956632,0.999624598,0.289332034,,,1.452254371,0.999624598,0.452629774,
1.69,157.3111964,4.639052928,1.69,229.0172228,6.753638917,0.029496064,0.029496064,,1.291226973,0.999565023,0.291661951,,,1.454812343,0.999565023,0.45524732,
1.8,157.4844884,4.946638773,1.8,242.5251929,7.617794836,0.031415927,0.031415927,,1.367386553,0.99950656,0.367879992,,,1.540620569,0.99950656,0.541114008,
1.91,157.8390178,5.26096766,1.91,242.5101287,8.083159424,0.033335789,0.033335789,,1.367301619,0.999444414,0.367857205,,,1.540524875,0.999444414,0.541080461,
2.02,157.828632,5.563833326,2.02,244.0924486,8.604837299,0.035255651,0.035255651,,1.376222931,0.999378584,0.376844347,,,1.550576427,0.999378584,0.551197843,
2.14,157.4523796,5.88060429,2.14,244.6735791,9.138181987,0.037350046,0.037350046,,1.379499416,0.999302568,0.380196848,,,1.554268008,0.999302568,0.55496544,
2.25,157.6230271,6.189882775,2.25,245.0579297,9.623466098,0.039269908,0.039269908,,1.381666431,0.999229036,0.382437395,,,1.556709563,0.999229036,0.557480527,
2.36,158.1583267,6.514883636,2.36,245.2409349,10.10200467,0.04118977,0.04118977,,1.382698237,0.999151821,0.383546415,,,1.557872088,0.999151821,0.558720266,
2.47,158.1455341,6.818359711,2.47,245.8258231,10.59864825,0.043109633,0.043109633,,1.385995908,0.999070924,0.386924984,,,1.56158754,0.999070924,0.562516616,
2.59,158.1309146,7.149395848,2.59,245.803098,11.11322004,0.045204028,0.045204028,,1.385867781,0.998978472,0.386889309,,,1.561443181,0.998978472,0.562464709,
2.7,158.1169045,7.452818155,2.7,258.8557496,12.20112951,0.04712389,0.04712389,,1.459460219,0.998889875,0.460570344,,,1.644359035,0.998889875,0.64546916,
2.81,158.4699584,7.77424907,2.81,259.7952325,12.74508345,0.049043752,0.049043752,,1.464757138,0.998797596,0.465959542,,,1.65032702,0.998797596,0.651529424,
2.92,159.1832465,8.115460996,2.92,261.1205588,13.31241671,0.050963614,0.050963614,,1.472229489,0.998701636,0.473527853,,,1.658746042,0.998701636,0.660044406,
3.04,159.5309549,8.468043507,3.04,261.4813982,13.87966278,0.053058009,0.053058009,,1.474263945,0.998592754,0.475671191,,,1.661038244,0.998592754,0.66244549,
3.15,159.6950422,8.784085539,3.15,261.841674,14.40269924,0.054977871,0.054977871,,1.476295224,0.998489097,0.477806127,,,1.663326865,0.998489097,0.664837767,
3.26,160.0436929,9.111331337,3.26,262.2066675,14.9274975,0.056897734,0.056897734,,1.478353102,0.998381761,0.479971341,,,1.665645455,0.998381761,0.667263694,
3.37,161.118212,9.482708251,3.37,263.920543,15.53320062,0.058817596,0.058817596,,1.48801614,0.998270744,0.489745397,,,1.676532703,0.998270744,0.678261959,
3.49,161.4624772,9.842178061,3.49,264.8531447,16.14450525,0.060911991,0.060911991,,1.493274262,0.998145438,0.495128824,,,1.682456975,0.998145438,0.684311537,
3.6,161.8089503,10.17498177,3.6,265.016251,16.66493427,0.062831853,0.062831853,,1.494193876,0.998026728,0.496167147,,,1.683493094,0.998026728,0.685466366,
3.71,162.7031329,10.54469236,3.71,265.1788176,17.18607997,0.064751715,0.064751715,,1.495110446,0.99790434,0.497206106,,,1.684525784,0.99790434,0.686621444,
3.82,163.2278672,10.89327132,3.82,265.7332633,17.73413195,0.066671577,0.066671577,,1.498236478,0.997778274,0.500458205,,,1.688047853,0.997778274,0.69026958,
3.94,164.4778582,11.32258072,3.94,266.4785571,18.3442623,0.068765973,0.068765973,,1.502438535,0.997636552,0.504801983,,,1.692782269,0.997636552,0.695145717,
4.05,164.4558286,11.63817442,4.05,266.4428659,18.85557096,0.070685835,0.070685835,,1.502237304,0.997502796,0.504734508,,,1.692555543,0.997502796,0.695052747,
4.16,165.1655717,12.00696663,4.16,271.4744061,19.73525173,0.072605697,0.072605697,,1.53060574,0.997365364,0.533240376,,,1.724517973,0.997365364,0.727152609,
