Degree,XCoordinate,YCoordinate
0,222.7386361,0
0.18,222.737538,0.699398168
0.36,222.7342439,1.39878944
0.54,222.7287536,2.098166921
0.72,222.7210674,2.797523714
0.9,222.7111852,3.496852926
1.08,252.700736,4.761445231
1.26,252.6845393,5.554900765
1.44,252.6658513,6.34830153
1.62,252.6446721,7.141639704
1.8,252.6210019,7.934907463
1.98,240.5180464,8.310798544
2.16,236.0144893,8.89723707
2.34,231.630095,9.460395594
2.52,231.5992475,10.18766626
2.7,226.3033801,10.66677813
2.88,178.8550294,8.993244441
3.06,178.825909,9.554803976
3.24,176.2344217,9.971389678
3.42,175.3557113,10.47415162
3.6,175.321958,11.02471602
3.78,173.604649,11.46411101
3.96,173.5677959,12.0091722
4.14,171.8625627,12.43353845
4.32,171.4084069,12.9418463
4.5,171.3669245,13.48000401
4.68,170.4984366,13.95049992
4.86,170.4537916,14.48579536
5.04,162.4864894,14.32273575
5.22,162.4407151,14.83287188
5.4,162.3933391,15.34286176
5.58,159.2477759,15.55032305
5.76,158.4460479,15.97445571
5.94,157.6480153,16.39420481
6.12,156.4150939,16.76260892
6.3,156.3616883,17.25366887
6.48,156.3067411,17.74455871
6.66,153.6878602,17.93622814
6.84,152.9104035,18.33235288
7.02,152.1372064,18.72441594
7.2,152.0776619,19.20203368
7.38,150.2541631,19.45130176
7.56,149.8440722,19.87680475
7.74,148.744855,20.2064705
7.92,148.6806735,20.67342896
8.1,147.2545555,20.94665944
8.28,147.1880572,21.40893472
8.46,145.784001,21.67237219
8.64,145.385048,22.07988087
8.82,145.3150006,22.53628032
9,144.2629348,22.8372281
9.18,143.8668494,23.23782094
9.36,143.7931735,23.68944755
9.54,142.4401778,23.9261868
9.72,142.3643475,24.37333027
9.9,141.3461829,24.65609968
10.08,140.9577865,25.04467548
10.26,140.8784514,25.48715874
10.44,140.1827168,25.81613001
10.62,140.1009632,26.25617575
10.8,139.1086532,26.52261822
10.98,138.4272261,26.84343003
