Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,,,,
0,104.6518036,0,,0,43.84062043,0,,60.81118317,0,,60.81118317,1.570796327,,,
0.18,104.6512877,0.328606123,,0.18,43.84040431,0.137659322,,60.81088339,0.190946801,,60.81118318,1.567656327,,,
0.36,104.64974,0.657209007,,0.36,43.83975593,0.275317287,,60.80998407,0.38189172,,60.81118321,1.564516327,,,
0.54,104.6471604,0.98580541,,0.54,44.54575073,0.419633384,,60.10140967,0.566172026,,60.10407636,1.561376327,,,
0.72,104.6435491,1.314392094,,0.72,43.83716247,0.550623715,,60.80638663,0.763768379,,60.81118316,1.558236327,,,
0.9,104.6389061,1.642965819,,0.9,43.83521741,0.688269465,,60.80368869,0.954696354,,60.81118321,1.555096327,,,
1.08,104.6332313,1.971523345,,1.08,43.83284015,0.825908428,,60.80039115,1.145614917,,60.81118316,1.551956327,,,
1.26,104.6265249,2.300061432,,1.26,50.61056006,1.112599289,,54.01596484,1.187462143,,54.02901557,1.548816327,,,
1.44,104.618787,2.628576841,,1.44,51.01656895,1.281805836,,53.60221805,1.346771005,,53.61913438,1.545676327,,,
1.62,104.6100175,2.957066334,,1.62,51.01229258,1.44199128,,53.59772492,1.515075054,,53.61913436,1.542536327,,,
1.8,104.6002166,3.285526672,,1.8,51.00751326,1.602162507,,53.59270334,1.683364165,,53.61913433,1.539396327,,,
1.98,104.5893844,3.613954615,,1.98,51.00223102,1.762317937,,53.58715338,1.851636678,,53.61913432,1.536256327,,,
2.16,104.577521,3.942346927,,2.16,50.99644592,1.922455991,,53.58107508,2.019890936,,53.61913433,1.533116327,,,
2.34,105.2711443,4.299556452,,2.34,50.99015801,2.082575091,,54.28098629,2.216981361,,54.32624116,1.529976327,,, 
2.52,105.2571247,4.630086105,,2.52,50.98336737,2.242673658,,54.27375733,2.387412447,,54.32624111,1.526836327,,,
2.7,105.2420674,4.960570108,,2.7,50.97607405,2.402750112,,54.26599335,2.557819996,,54.32624115,1.523696327,,,
2.88,105.2259724,5.291005202,,2.88,51.38085194,2.583548042,,53.84512046,2.70745716,,53.91314609,1.520556327,,,
3.06,121.0777236,6.469274623,,3.06,51.37248632,2.744870916,,69.70523728,3.724403707,,69.80466523,1.517416327,,,
3.24,121.0568132,6.849426158,,3.24,51.36361418,2.906166726,,69.69319902,3.943259432,,69.80466521,1.514276327,,,
3.42,121.0347093,7.229510161,,3.42,51.35423562,3.067433883,,69.68047368,4.162076278,,69.80466525,1.511136327,,,
3.6,121.011412,7.609522883,,3.6,50.93207,3.202745475,,70.079342,4.406777408,,70.21776031,1.507996327,,,
3.78,120.9869216,7.989460579,,3.78,50.92176231,3.362656124,,70.06515929,4.626804455,,70.21776033,1.504856327,,,
3.96,120.9612382,8.369319502,,3.96,50.91095256,3.522533617,,70.05028564,4.846785885,,70.21776023,1.501716327,,,
4.14,120.9343623,8.749095907,,4.14,50.89964084,3.68237638,,70.03472146,5.066719527,,70.21776027,1.498576327,,,
4.32,120.906294,9.12878605,,4.32,51.29974986,3.873284222,,69.60654414,5.255501828,,69.80466522,1.495436327,,,
4.5,120.8770336,9.508386186,,4.5,50.87551197,4.00195141,,70.00152163,5.506434776,,70.21776025,1.492296327,,,
4.68,120.8465814,9.887892573,,4.68,50.86269506,4.161680527,,69.98388634,5.726212046,,70.21776023,1.489156327,,,
4.86,120.8149378,10.26730147,,4.86,50.84937666,4.32136861,,69.96556114,5.94593286,,70.21776031,1.486016327,,,
5.04,120.7821029,10.64660914,,5.04,50.83555691,4.481014087,,69.94654599,6.165595053,,70.21776028,1.482876327,,,
5.22,120.7480772,11.02581183,,5.22,50.82123594,4.640615383,,69.92684126,6.385196447,,70.21776031,1.479736327,,,
5.4,120.7128609,11.40490581,,5.4,51.21767746,4.839026953,,69.49518344,6.565878857,,69.80466522,1.476596327,,,
5.58,121.0820862,11.82349672,,5.58,51.20223045,4.99982634,,69.87985575,6.82367038,,70.21222627,1.473456327,,,
5.76,121.0443635,12.20363556,,5.76,51.18627861,5.160576432,,69.85808489,7.043059128,,70.21222619,1.470316327,,,
5.94,121.0054475,12.58365407,,5.94,50.75894278,5.278547292,,70.24650472,7.305106778,,70.62532131,1.467176327,,,
6.12,120.9653383,12.96354852,,6.12,51.15286105,5.481922386,,69.81247725,7.481626134,,70.21222621,1.464036327,,,
6.3,120.9240365,13.34331515,,6.3,51.13539567,5.642515081,,69.78864083,7.700800069,,70.21222622,1.460896327,,,
6.48,120.8815424,13.72295022,,6.48,51.11742611,5.803052143,,69.76411629,7.919898077,,70.2122262,1.457756327,,,
6.66,120.8378565,14.10244999,,6.66,51.09895256,5.96353199,,69.73890394,8.138918,,70.21222621,1.454616327,,,
6.84,120.7929792,14.48181071,,6.84,51.07997519,6.123953038,,69.71300401,8.357857672,,70.21222624,1.451476327,,,
7.02,120.7469109,14.86102865,,7.02,51.0604942,6.284313707,,69.6864167,8.576714943,,70.21222623,1.448336327,,,
7.2,120.6996521,15.24010007,,7.2,51.04050977,6.444612415,,69.65914233,8.795487655,,70.21222624,1.445196327,,,
7.38,120.6512032,15.61902122,,7.38,51.0200221,6.604847581,,69.6311811,9.014173639,,70.2122262,1.442056327,,,
7.56,120.6015648,15.99778838,,7.56,50.99903139,6.765017627,,69.60253341,9.232770753,,70.21222623,1.438916327,,,
7.74,120.5507373,16.3763978,,7.74,50.97753786,6.925120972,,69.57319944,9.451276828,,70.21222624,1.435776327,,,
7.92,120.4987212,16.75484576,,7.92,50.95554171,7.085156039,,69.54317949,9.669689721,,70.21222624,1.432636327,,,
8.1,120.8503725,17.19071839,,8.1,50.93304315,7.245121248,,69.91732935,9.945597142,,70.62115721,1.429496327,,,
8.28,120.795798,17.57010319,,8.28,50.91004242,7.405015024,,69.88575558,10.16508817,,70.62115724,1.426356327,,,
