Degree,XCoordinate,YCoordinate,,Degree,XCoordinate,YCoordinate,,,,,,
0,108.1873375,0,,0,48.7903679,0,,59.3969696,0,,59.3969696,1.570796327
0.18,108.1868042,0.339707682,,0.18,48.79012738,0.153201503,,59.39667682,0.186506179,,59.39696963,1.567656327
0.36,108.1852042,0.679412014,,0.36,48.7894058,0.306401496,,59.3957984,0.373010518,,59.39696966,1.564516327
0.54,108.1825375,1.019109647,,0.54,48.78820318,0.459598468,,59.39433432,0.559511179,,59.39696964,1.561376327
0.72,108.1788042,1.358797233,,0.72,55.92709409,0.702481242,,52.25171011,0.656315991,,52.25583183,1.558236327
0.9,108.1740042,1.698471421,,0.9,55.92461259,0.878088566,,52.24939161,0.820382855,,52.25583175,1.555096327
1.08,108.1681378,2.038128863,,1.08,55.9215797,1.053687232,,52.2465581,0.984441631,,52.25583181,1.551956327
1.26,108.1612048,2.37776621,,1.26,55.91799545,1.229275509,,52.24320935,1.148490701,,52.25583177,1.548816327
1.44,108.1532054,2.717380113,,1.44,55.91385987,1.404851666,,52.23934553,1.312528447,,52.25583175,1.545676327
1.62,108.1441397,3.056967224,,1.62,55.909173,1.580413972,,52.2349667,1.476553252,,52.25583179,1.542536327
1.8,108.1340077,3.396524194,,1.8,55.90393488,1.755960696,,52.23007282,1.640563498,,52.25583178,1.539396327
1.98,108.1228096,3.736047677,,1.98,55.89814558,1.931490106,,52.22466402,1.804557571,,52.25583183,1.536256327
2.16,108.1105454,4.075534323,,2.16,55.89180514,2.107000473,,52.21874026,1.96853385,,52.25583183,1.533116327
2.34,108.0972152,4.414980786,,2.34,55.88491364,2.282490066,,52.21230156,2.13249072,,52.25583174,1.529976327
2.52,108.0828193,4.754383719,,2.52,55.87747113,2.457957154,,52.20534817,2.296426565,,52.25583176,1.526836327
2.7,122.7633923,5.786435308,,2.7,55.86947769,2.633400008,,66.89391461,3.1530353,,66.96818232,1.523696327
2.88,122.7446178,6.1718832,,2.88,55.86093341,2.808816897,,66.88368439,3.363066303,,66.96818239,1.520556327
3.06,122.724633,6.557270241,,3.06,55.85183835,2.984206093,,66.87279465,3.573064148,,66.96818238,1.517416327
3.24,122.7034382,6.942592629,,3.24,55.84219262,3.159565866,,66.86124558,3.783026763,,66.96818239,1.514276327
3.42,122.6810336,7.327846566,,3.42,55.83199631,3.334894486,,66.84903729,3.99295208,,66.96818239,1.511136327
3.6,122.6574194,7.713028254,,3.6,55.82124952,3.510190226,,66.83616988,4.202838028,,66.96818238,1.507996327
3.78,122.6325958,8.098133894,,3.78,55.80995235,3.685451357,,66.82264345,4.412682537,,66.96818233,1.504856327
3.96,122.6065632,8.48315969,,3.96,55.79810492,3.860676151,,66.80845828,4.622483539,,66.96818238,1.501716327
4.14,122.5793217,8.868101845,,4.14,55.78570735,4.03586288,,66.79361435,4.832238965,,66.96818238,1.498576327
4.32,122.5508716,9.252956565,,4.32,55.77275975,4.211009818,,66.77811185,5.041946747,,66.96818236,1.495436327
4.5,122.1217387,9.606296733,,4.5,55.75926225,4.386115236,,66.36247645,5.220181497,,66.56747386,1.492296327
4.68,122.0909729,9.989711005,,4.68,55.74521499,4.561177409,,66.34575791,5.428533596,,66.56747381,1.489156327
4.86,122.0590034,10.37302678,,4.86,55.7306181,4.736194611,,66.3283853,5.636832169,,66.56747384,1.486016327
5.04,122.0258304,10.75624029,,5.04,55.71547173,4.911165116,,66.31035867,5.845075174,,66.56747382,1.482876327
5.22,121.9914543,11.13934774,,5.22,55.69977603,5.086087198,,66.29167827,6.053260542,,66.56747382,1.479736327
5.4,121.9558755,11.52234536,,5.4,55.68353116,5.260959134,,66.27234434,6.261386226,,66.5674739,1.476596327
5.58,121.9190941,11.90522938,,5.58,55.66673727,5.4357792,,66.25235683,6.46945018,,66.56747382,1.473456327
5.76,121.8811107,12.28799601,,5.76,55.64939452,5.61054567,,66.23171618,6.67745034,,66.56747382,1.470316327
5.94,121.8419256,12.6706415,,5.94,55.6315031,5.785256823,,66.2104225,6.885384677,,66.56747381,1.467176327
6.12,122.1999663,13.09586047,,6.12,55.21162691,5.916890029,,66.98833939,7.178970441,,67.37191723,1.464036327
6.3,122.158243,13.47950318,,6.3,55.19277572,6.090225084,,66.96546728,7.389278096,,67.37191729,1.460896327
6.48,122.1153152,13.86301298,,6.48,55.58638054,6.310385504,,66.52893466,7.552627476,,66.9562643,1.457756327
6.66,122.0711834,14.24638609,,6.66,55.56629193,6.484895343,,66.50489147,7.761490747,,66.95626429,1.454616327
